Category,Resource Name/Description,Direct URL
Model Policies,ILRC Model Policies on Immigration Enforcement,[ilrc.org/sites/default/files/resources/ilrc\_model\_policies\_on\_immigration\_enforcement\_aug\_2019.pdf](https://www.ilrc.org/sites/default/files/resources/ilrc_model_policies_on_immigration_enforcement_aug_2019.pdf)
Model Policies,ACLU Sanctuary Congregations & Harboring FAQ,[aclu.org/legal-document/sanctuary-congregations-and-harboring-faq](https://www.aclu.org/legal-document/sanctuary-congregations-and-harboring-faq)
Model Policies,NILC Sanctuary School Policies Advisory,[nilc.org/issues/immigration-enforcement/practice-advisory-legal-authority-for-sanctuary-school-policies/](https://www.nilc.org/issues/immigration-enforcement/practice-advisory-legal-authority-for-sanctuary-school-policies/)
Model Policies,United We Dream Resilience & Community Care Toolkit,[unitedwedream.org/resources/resilience-community-care-toolkit/](https://unitedwedream.org/resources/resilience-community-care-toolkit/)
Transparency/Accountability,ILRC Appendix: Breaking Down Policy Categories,[ilrc.org/appendix-breaking-down-policy-categories](https://www.ilrc.org/appendix-breaking-down-policy-categories)
Transparency/Accountability,NILC Amicus Brief: Officer Identification,[nilc.org/issues/immigration-enforcement/amicus-brief-supporting-california-laws-ban-on-law-enforcement-wearing-masks/](https://www.nilc.org/issues/immigration-enforcement/amicus-brief-supporting-california-laws-ban-on-law-enforcement-wearing-masks/)
Enacted Law (City),San Francisco Sanctuary Ordinance (Admin Code 12H & 12I),[codelibrary.amlegal.com/codes/san\_francisco/latest/sf\_admin/0-0-0-2314](https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_admin/0-0-0-2314)
Enacted Law (City),Los Angeles Sanctuary City Ordinance (Ord. 188086),[clkrep.lacity.org/onlinedocs/2023/23-0112\_ord\_188086\_12-04-23.pdf](https://clkrep.lacity.org/onlinedocs/2023/23-0112_ord_188086_12-04-23.pdf)
Enacted Law (County),Cook County Sanctuary Ordinance (No. 11-O-73),\[cookcounty.legistar.com/LegislationDetail.aspx?ID=1047405\&GUID=F6B6A2A2-2B2B-4B2A-8B2B-2B2B2B2B2B2B\&Options=ID
Enacted Law (State),California Values Act (SB 54),[leginfo.legislature.ca.gov/faces/codes\_displayText.xhtml?lawCode=GOV\&division=7.\&title=1.\&part=\&chapter=17.25.\&article=](https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=GOV\&division=7.\&title=1.\&part=\&chapter=17.25.\&article=)
Enacted Law (State),Oregon Sanctuary Law (ORS 181A.820),[oregonlegislature.gov/bills\_laws/ors/ors181A.html#181A.820](https://www.oregonlegislature.gov/bills_laws/ors/ors181A.html#181A.820)
Enacted Law (State),Illinois TRUST Act (SB 31),[ilga.gov/legislation/ilcs/ilcs3.asp?ActID=3826\&ChapterID=5](https://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=3826\&ChapterID=5)
Enacted Law (State),New Jersey Immigrant Trust Directive,[nj.gov/oag/dcj/agguide/directives/ag-directive-2018-6.pdf](https://www.nj.gov/oag/dcj/agguide/directives/ag-directive-2018-6.pdf)
Enacted Law (State),Washington Keep Washington Working Act (SB 5497),[app.leg.wa.gov/billsummary?BillNumber=5497\&Year=2019](https://app.leg.wa.gov/billsummary?BillNumber=5497\&Year=2019)
Local Response (MN),Minneapolis Executive Order 2025-02 (ICE Property Ban),[minneapolismn.gov/government/mayor/executive-orders/executive-order-2025-02/](https://www.minneapolismn.gov/government/mayor/executive-orders/executive-order-2025-02/)